Grade;Zx;Zy;Strain;Stress;Area
B30;0.12500000000000003;0.024999999999999994;0.00086909339984491524;0;0.0025
B30;0.17500000000000002;0.024999999999999994;0.0012497172141371896;0;0.0025
B30;0.225;0.024999999999999994;0.0016303410284294641;0;0.0025
B30;-0.225;0.074999999999999983;-0.0014797393988164296;-14.90186893483734;0.0025
B30;-0.175;0.074999999999999983;-0.0010991155845241551;-13.366871575647451;0.0025
B30;-0.125;0.074999999999999983;-0.00071849177023188037;-11.831874216457562;0.0025
B30;-0.074999999999999983;0.074999999999999983;-0.00033786795593960568;-10.296876857267675;0.0025
B30;-0.024999999999999994;0.074999999999999983;4.2755858352668788E-05;0;0.0025
B30;0.024999999999999994;0.074999999999999983;0.00042337967264494331;0;0.0025
B30;0.075000000000000039;0.074999999999999983;0.00080400348693721827;0;0.0025
B30;0.12500000000000003;0.074999999999999983;0.0011846273012294929;0;0.0025
B30;0.17500000000000002;0.074999999999999983;0.0015652511155217672;0;0.0025
B30;0.225;0.074999999999999983;0.0019458749298140417;0;0.0025
B30;-0.225;0.12500000000000003;-0.0011642054974318518;-13.629369193167761;0.0025
B30;-0.175;0.12500000000000003;-0.00078358168313957723;-12.094371833977872;0.0025
B30;-0.125;0.12500000000000003;-0.00040295786884730249;-10.559374474787983;0.0025
B30;-0.074999999999999983;0.12500000000000003;-2.2334054555027752E-05;-0.7258567730384019;0.0025
B30;-0.024999999999999994;0.12500000000000003;0.00035828975973724672;0;0.0025
B30;0.024999999999999994;0.12500000000000003;0.0007389135740295213;0;0.0025
B30;0.075000000000000039;0.12500000000000003;0.0011195373883217963;0;0.0025
B30;0.12500000000000003;0.12500000000000003;0.0015001612026140708;0;0.0025
B30;0.17500000000000002;0.12500000000000003;0.0018807850169063451;0;0.0025
B30;0.225;0.12500000000000003;0.00226140883119862;0;0.0025
B30;-0.225;0.17500000000000002;-0.00084867159604727432;-12.356869451498183;0.0025
B30;-0.175;0.17500000000000002;-0.00046804778175499979;-10.821872092308293;0.0025
B30;-0.125;0.17500000000000002;-8.7423967462725051E-05;-2.8412789425385641;0.0025
B30;-0.074999999999999983;0.17500000000000002;0.00029319984682954969;0;0.0025
B30;-0.024999999999999994;0.17500000000000002;0.00067382366112182421;0;0.0025
B30;0.024999999999999994;0.17500000000000002;0.0010544474754140987;0;0.0025
B30;0.075000000000000039;0.17500000000000002;0.0014350712897063737;0;0.0025
B30;0.12500000000000003;0.17500000000000002;0.0018156951039986482;0;0.0025
B30;0.17500000000000002;0.17500000000000002;0.0021963189182909225;0;0.0025
B30;0.225;0.17500000000000002;0.0025769427325831968;0;0.0025
A500;0.21;-0.16;0.00034867844901884451;69.7356898037689;0.0006158
A500;0.21;0;0.0013583869334494929;271.67738668989858;0.0001539
A500;0.21;0.16;0.0023680954178801413;435;0.0006158
A500;0;-0.16;-0.0012499415710087087;-249.98831420174176;0.0001539
A500;0;0.16;0.000769475397852588;153.89507957051762;0.0001539
A500;-0.21;-0.16;-0.0028485615910362619;-400;0.0006158
A500;-0.21;0;-0.0018388531066056135;-367.77062132112269;0.0001539
A500;-0.21;0.16;-0.00082914462217496517;-165.82892443499304;0.0006158
